App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
App 1,EDUCATION,2.7,197682,74M,"1,000,000+",Paid,0,Everyone 10+,Simulation,22-Jun-17,Varies with device,5.0 and up
App 2,TOOLS,2.9,272227,Varies with device,"10,000,000+",Paid,0,Mature 17+,Education,28-Apr-16,Varies with device,4.2 and up
App 3,GAME,,911079,Varies with device,"1,000+",Paid,14.66,Teen,Action,07-Jul-17,1.5,5.0 and up
App 4,PERSONALIZATION,1.4,91337,74M,"1,000,000+",Free,39.13,Teen,Entertainment,02-Sep-17,Varies with device,5.0 and up
App 5,TOOLS,4.6,295445,74M,"1,000+",Free,40.67,Mature 17+,Puzzle,10-Jul-16,1.1,4.2 and up
App 6,BUSINESS,4.3,696472,74M,"1,000,000+",Free,0,Mature 17+,Tools,27-Oct-17,1.0,4.1 and up
App 7,EDUCATION,4.2,912474,Varies with device,"1,000,000+",Paid,2.31,Everyone 10+,Entertainment,18-Aug-16,1.1,4.0 and up
App 8,EDUCATION,3.9,463917,Varies with device,"10,000+",Free,26.73,Everyone 10+,Action,18-Aug-18,1.5,Varies with device
App 9,FAMILY,1.3,35375,Varies with device,"10,000+",Free,29.8,Mature 17+,Simulation,19-Nov-17,Varies with device,4.1 and up
App 10,BUSINESS,2.7,154618,Varies with device,"1,000,000+",Paid,0,Everyone,Tools,06-Sep-16,1.1,Varies with device
App 11,BUSINESS,3.6,345391,74M,"1,000,000+",Free,1.46,Everyone,Entertainment,11-Dec-16,2.0,Varies with device
App 12,EDUCATION,4.3,24900,74M,"1,000+",Free,27.28,Mature 17+,Puzzle,09-Jul-18,1.1,Varies with device
App 13,EDUCATION,3.5,966647,Varies with device,"10,000+",Paid,0,Everyone,Puzzle,13-Jan-16,2.0,4.1 and up
App 14,PERSONALIZATION,3.9,838001,74M,"10,000+",Free,0,Everyone,Simulation,07-Apr-17,1.5,4.1 and up
